id,name,description,organisation,building,level,type,bookable,email,capacity
xray:3.540.10.01,10.01,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.03,10.03,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.05,10.05,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.06,10.06,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.07,10.07,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.08,10.08,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.10.09,10.09,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,formal,FALSE,,
xray:3.540.100,100,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.101,101,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.102,102,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.103,103,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.104,104,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.105,105,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.106,106,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.107,107,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.108,108,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.109,109,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.110,110,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.111,111,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.112,112,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.113,113,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.114,114,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.115,115,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.116,116,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
xray:3.540.117,117,,zone-xP3Z77ZH-Z,zone-y3qHfB~QrH,zone-y3qRLrZGVs,workstation,FALSE,,
